k,h,train_sharpe_net,train_time_in_mkt
0.1,3.0,0.1292279958479234,0.6260485651214128
0.1,4.0,-0.001356941095177909,0.6359823399558499
0.1,5.0,0.1410987370781476,0.5534216335540839
0.1,6.0,0.23888646671061856,0.5891832229580574
0.1,8.0,0.3095523432693932,0.530242825607064
0.1,10.0,0.0030797654201218235,0.4878587196467991
0.25,3.0,-0.08291753182941393,0.5240618101545254
0.25,4.0,0.07827295411194997,0.39183222958057395
0.25,5.0,0.3478297114644737,0.30949227373068433
0.25,6.0,0.051714648989105556,0.19337748344370861
0.25,8.0,-0.1476845462738428,0.19514348785871966
0.25,10.0,-0.027311627532006985,0.1686534216335541
0.5,3.0,-0.0006173938051322156,0.23686534216335542
0.5,4.0,0.22947566925481658,0.2675496688741722
0.5,5.0,-0.1420205390687191,0.2304635761589404
0.5,6.0,0.010034003506345203,0.16710816777041942
0.5,8.0,0.11969470390533815,0.543046357615894
0.5,10.0,0.39507103201636884,0.9997792494481236
0.75,3.0,0.17413343609412965,0.25342163355408387
0.75,4.0,0.024801038444390498,0.16688741721854305
0.75,5.0,-0.02942236118433677,0.36644591611479027
0.75,6.0,0.1254745666027468,0.5428256070640176
0.75,8.0,0.39507103201636884,0.9997792494481236
0.75,10.0,0.39507103201636884,0.9997792494481236
1.0,3.0,0.24419860156527165,0.31147902869757177
1.0,4.0,-0.02942236118433677,0.36644591611479027
1.0,5.0,0.1254745666027468,0.5428256070640176
1.0,6.0,0.1254745666027468,0.5428256070640176
1.0,8.0,0.39507103201636884,0.9997792494481236
1.0,10.0,0.39507103201636884,0.9997792494481236
